Text,Category
y pensar ganar respetar ver aborrencimiento demasiar libertar permitir demasiar subordinación hombre feminista radical occidente cambiar pongale mono y mono haciendola reírmientras seguir protestar y movimiento juzgar hombre y permisión y beneficio tendránpor huevxnxs    feminazis,1
y demostrar mujer familia esposar ayudar y cooperar casar niño osea hombre pensar y quedate adecuar escoger patán y culpar a mundo decidir,0
mayoría hombre dependiente mujer sentir organización hogar y campar laboral secretaría jamás tarea a complicar vida diario y madre parir y criar malo dejar hijo botar padre papel � � � � � � creer hombre procrear y,0
entender mujer usar presionar sistema y usar hombre querer deshacer sistema beneficiar,0
a a holgar ver hombre necesitar coser obvio necesitar y mundo pararia necesitar a hombre parir ridículo y quedar estúpido feminazis plantear argumento xd,1
españa “ pablar hasél ” encarcelar    a préstenle atención    mujer dar vida culpar hombre crío inculcar sociedad y pasar vivir gobernar importar accionar        ganar olvidar,0
enseriar creer ayudar tomar a pensar actuar impulso o emocionar creer violador o machista pensar dañar mundo y peligro mundo y a afecto demostrar inteligencia y tontería demostrar coser,0
basto señor    ideal quejar eterno y huelga sentir contrario ponerse a y dejarse trauma y complejo,0
vallar a tomar clase vallar alumnoa temer y perderse importante seguir a personasy personar quedar a laborar deber cubrir obligación gente ausentar deber regalarles sueldopueden ideal noble ideo plantear,0
mundo detener mujer imagínate hombre hacer jaja colapsar universo jajajaja,0
mujer elmundo    parir gente indeseable político o banquero ladrón    asesinostraficantes y violador y tanto gente indeseable,0
drogar mocoso q empezar a hablar reportaje metido palabrita “ igualdad ” ignorante pensamiento progre ideo,1
tremendo tontería gustar perder seguir ideología hueco e inútil tomar seriar parecer irónico,0
a perder vidaal seguir mujer dejar invitar y cubrir gasto peculio,0
   holgar entrar y salir jajaj chistar hacer    o    semana y tirar sistema abajar,0
esencial creer ego dejar humanar indispensable mundo económico reemplazable,0
weeaa salir controlesto volver catastróficoesta revelación biblia cuidar,0
mujer medo tanto rabiar temer feminismo machismo    personar y parecer quedo preocupar llamamiento a raza humano dedicar y energía mejorar único lograr dividir unir,0
haber inventar protestar capitalismo absurdo increíble,0
existir extinguir haber hombre procreación fácil y estoi lbgi hombre hombre procrear,0
chisme crítico y cuento pasillo,0
profesor v d ingle espaol y q q cambiar ley espaolas y descriminacion etcétera,0
interesante iniciativo laborar laboral serio sencillo cargo ocupar mujer área mujer realizar serio mujer,0
mujer equivaler a    hombre reunir contar chisme q,0
fiesta a armar acostumbrar herrentag alemania,0
pelotudez pasaria hiceran hombre rubio derecho q llamar juancomo querer dividir,0
mujer feminazi destruir año verdadero luchar feminista,1
gustar holgar hombre compartir mitad sueldojajajaja,0
y femefalsas aruinan luchar feminista mundo,0
apúrense hacer huelgapoco a españa lleno moro y tanto españolar convertir a religión hacer volver objeto simple restar arabia,0
jajajajajjaja y hombre a cargar holgar,0
feminista aunmenta odiar mundo promover sumision adsoluta generar masculino permirtir pasar,0
flipante machismo mundo,0
tomar holgar a limpiar y cocinar doblar,0
y a llamar evolucionar    luchar labrar mundo hombre mujer y sentir inferior problema,0
partir ideo igualdad y radical enfermizo,0
chorrada mujer    sentir q debr cambiar sociedad y casar dobre madre q educar a hombre debilrs o machista y q educar mujer chacha o liberal     ayudar a,0
querer cambiar paradigma holgar rabieta niño,0
holgar casar desayunar limpieza    lavar y planchar almorzar cenaquiero a padre cambiar pañal    limpiar cola hijo popó etcétera ah bebitos vomitar y sobrevivir destruir serio hazaña,0
holgar silenciar programar semana acá morir viejo,0
quejar tener carta despedir,0
quitar respetar ganar veedaderas luchador,0
extiendanla    diciembre a feminazis,0
temer degenerar tomándolo pretextar protestar y,0
hombre a a tomar joder bravo,0
holgar mujer     perfecto    y bebé     hijo terapia intensivo     hijo electrodependientes    hijo depender dosis insulina    madre soltero y perder y presentismo    hijo    o a consultar médico      fín  ,0
sentir mujer liberalismo igualdad respetar demasíado individualidad querer,0
jajajajaja parir ver aguantar ganar quedarse callar,0
q feliz estar x    hs adherir y ver q,0
poner empresa    y degen andar agitadodas,0
cnn asumir mujer a participar ridiculez,0
exageracion casar hacer reves,0
preguntar realmente pedir igualdad o interesar,0
querer o mil hombre machista violento violador acosador agresivo asesino    ect ect    hombre mundo respiraria paz y flor nacerian y lluvia serio danzar    inspirar querer a hombre vida a novio y a politico favorito,0
ridiculez máximo expresión,0
y serio      hombre    daria igualar    resultar,0
feminista feminoide,1
pando machista egolatrasque zurcir,1
típico radicalidad destruir causar,0
silencioso,0
dìa suficiente,0
único ke a lograr acumulación plato y ropa sucio,1
   silenciar,0
feminazis mierda,1
feminazis mujer subnormal,1
hacerla mundial,0
feminazis extraordinario ojalar,1
mujeresun silenciosoes chistar  ,0
paraíso y relax playa cervecita,0
súper tranquilidadjajaja jajaja,0
a extrañar v,0
deber repetirla,0
holgar    aplicarla acá,0
comprar boleto,0
mujer parir falto a moral,0
asustar q poder,0
tren    pesar atravesar,0
póngase a ordenar casar y dejar joder,1
bla bla bla bla jajaja ojalar ampliar a año,0
locassssssss,1
bar  ,0
tomadera guaro exagerar,0
excelente,0
ojalar llegar pa q dejar chingar siquiera    i querer,0
casar fiesta,0
feminazis asco,1
nivelar rating fútbol n a a nube,0
q joder feliz,0
hermoso dejar romper huevo,0
pendejazo,0
callar,0
aburrir,0
normal,0
joder,0
maridar suicidar,0
oraleeeee    tanto violencia,0
mierda cabeza,1
drama jajajajj,0
hacer año,0
quuen hombre a cargar marchar,0
tanto feminazi,1
ridículo mundo españa ver progresar,0
y querer parar,0
preferir dejar comer    hora,0
jajaja reír xd,0
chamo gente gafo,0
difícil vivir armonía,0
tranquilo planeta,0
estúpido,0
ay dios,0
españa jajaja,0
jajajaja querer comercializar puto ideo significar o historia jajajajaja ¡ aplausosrecuérdenme estudiante vender muñeco acción díaz ordaz,0
juguete diego codependiente y cuestionable talento opinion mujer precisamente ejemplar finsupongo coser venderse,0
mayoría comentario hombresindependientemente anunciar artículoy atrever a opinar favor muñeca o frida respectivo insultosmuy necesario mujer país morir diariamente    mujer violencia género cifrar oficial e informarse adecuadamente sociedad machista mexicano opinión dominante masculinaa desconocer totalmente movimiento opinar,0
irónico tener representante mujer dejar bigote y vestir hombre gustar mujer comunidad lgbt usar che gue símbolo liberación detestar a homosexual,0
frida luchar    talento    feminidad    ponerla estandarte mujer falto respetar generar femenino punto vestir haber    alguien juana asbaje,0
personar codependiente alguien respetar respetar a parejo fumador borracho y vestir hombredefinitivamente apartar feita muñeca barbi vida extraordinario época vivir atrever a reconocer talento sacrificio y dolor a mujer deber infiel y hacerse vestir gordo borracho vicioso y promiscuo y pintor haber lapa pegar a esposar haber salir rancho famoso aguantar infidelidad,0
