Text,Category
"Y pensar que se habían ganado hace mucho tiempo nuestro respeto, ahora solo veo aborrencimiento. 
Demasiada libertad se les ha permitido, demasiada subordinación nosotros los hombres para esta feminista radical de occidente que todo quiere cambiar, ""pongale un mono y ahí tiene que estar el mono haciendola reír""
Mientras mas sigan con protestas y nuevos movimientos mas serán juzgadas por los hombres y menos permisiones y beneficios tendrán.
por HUEVXNXS!  
por Feminazis.",1
Y para que? Que quiere demostrar? Soy mujer trabajo tengo familia un esposo que me ayuda y coopera tanto en casa como con los niños osea hay buenos hombres solo piensa y quedate con el adecuado para ti no escojas patanes y culpes a todo mundo de lo que tu decides,0
"Estoy de acuerdo por qué se que la mayoría de hombres son dependientes de una mujer en el sentido de organización, no sólo en el hogar y en el campo laboral por qué de secretarías jamás, aún así solo pueden hacer una tarea a la vez eso complica su vida diaria, y al final si no fuera por qué somos las madres las que los parimos y los criamos haber que hacen ya que son menos las malas que dejan hijos botados que padres de papel ������ que se creen hombres solo por que procrearon y ya.",0
"Que nadie entiende que esas mujeres estan siendo usadas para presionar un sistema, y si, estan siendo usadas por hombres que quieren deshacer ese sistema para beneficio de ellos, no de todos, no de ellas...",0
"Pero vamos a ver, vamos a hacer una huelga para que vean que los hombres nos necesitan (cosa que me parece obvia, ya que todos nos necesitamos) y que si no el mundo se pararia? Pero ellas dicen que necesitan ese día a los hombres. Es que no paran de hacer el ridículo y quedar como estúpidas cuando las feminazis plantean sus argumentos... Xd",1
España habla de “Pablo Hasél”. Que por decir la verdad lo encarcelan.  A eso préstenle atención.  Mujer tú qué das la vida no culpes al hombre que mientras lo crías no le inculcas la verdad de la sociedad y del paso donde vive hasta cuando se da cuenta que al gobierno no le importa sus acciones.   Ahora qué.   No gana el que se va. Sino el qué se olvida.,0
"Enserio creen que esto ayuda? Se han tomando un tiempo a pensar antes de actuar por impulsos o emociones? Creen que algún violador o machista se lo pensará dos veces con esto antes de hacer daño? el mundo sigue y peligros en el mundo lo tenemos todos, y a todos nos afecta por igual, hay que demostrar inteligencia y con estas tonterías solo demuestran otra cosa...",0
"Basta de que señoras?  No sé, parece que ya no hay mas ideal que la queja eterna de todo y por todo. Con huelgas vamos en sentido contrario, mejor hay que ponerse a trabajar y dejarse de traumas y complejos.",0
"En lo que no estoy de acuerdo es que no vallan a tomar clases. Ya que mientras valla un solo alumno/a se debe dar tema. Y después podrían perderse de algo importante solo por seguir a otras personas.
Y porque las personas que se quedaron a laborar debiendo cubrir las obligaciones de la gente ausente deberían regalarles parte de su sueldo?
Pueden tener ideales nobles pero sus ideas están mal planteadas.",0
"Si el mundo se detiene como dice ella, si las mujeres no trabajan, imagínate si los hombres no lo hicieran jaja colapsa el universo. Jajajaja",0
"Sin ustedes mujeres el
Mundo no existe, pero  también muchas paren ,gente indeseable que se hacen políticos o banqueros ladrones  ,asesinos,traficantes y violadores y tanta gente indeseable",0
Está en drogas la mocosa q empieza a hablar en el reportaje. Desde que están metidos con la palabrita “ igualdad” ya sabemos de qué ignorante pensamiento progre es idea,1
"Tremenda tontería! Cómo les gusta perder el tiempo siguiendo ideologías huecas e inútiles. Por cosas como esas no se les toma en serio, aunque parezca irónico.",0
"Van a perder un día de su vida,al final seguirán siendo mujeres que también tienen que dejar invites y cubrir sus gastos con su propio peculio.",0
2horas de huelga es lo mismo que entrar tarde y salir temprano jajaj.. Es un chiste eso.. hagan 24horas o 1 semana y ahi les tiras el sistema abajo..,0
"Tan esenciales se creen, su ego no las deja ver que ningún ser humano es indispensable para el mundo económico, todos son reemplazables",0
"Esta weeaa se de esta saliendo de control...

Esto se puede volver catastrófico...

Esta en las revelaciones de la Biblia... 
Cuidado!!!!!!",0
"Soy mujer pero meda tanta rabia el tema del feminismo del machismo. Que mas da todo eso.  Lo que hay que ser es PERSONA. y al parecer de eso ya poco queda, preocupemos por hacer ese llamamiento a toda la Raza Humana, dediquemos nuestro tiempo y energía en ser mejores. Por qué con esto lo único que logran es. Dividir en vez de Unir.",0
"Ya no hayan ni que inventar... además protestar contra el capitalismo, no puede ser más absurdo porque no se puede, increíble",0
Pues si no existieran... Nos extinguimos... Así como sino hubiera hombres... No hay procreación.... Fácil... Y estoi en contra de los lbgi... Que hombre con hombre no procrean...,0
"Si, si, si. Un día sin chismes, críticas y demás cuentos de pasillo en el trabajo...",0
"Mi profesor V, D de ingles es espa`ol y dijo q hay muchas cosas q debe cambiar sus leyes espa~olas, y hay mucha descriminacion, etc",0
"Me parece muy interesante la iniciativa, pero no solo laborar, laboral seria sencillo muchos cargos no están ocupados por mujeres, sino en todas las áreas que las mujeres realizan, como seria un día sin mujeres?",0
Un día sin mujeres equivale a  hombres reunidos contando chismes q nunca hicieron,0
Que buena fiesta se va a armar. Así se acostumbra el Herrentag en Alemania.,0
"Que pelotudez. Lo mismo pasaria si lo hiceran los hombres, otro dia los rubios, otro dia los derechos, otro dia los q se llaman Juan..como nos quieren dividir",0
Mujeres ustedes mismas con eso del #feminazi destruyeron años de verdaderas luchas feministas!,1
"Lo que más me gusta de esa huelga, es donde dice que los hombres compartan ese día la mitad de su sueldo.jajajaja.",0
Y yo un dia sin femefalsas que aruinan la verdadera lucha de las feministas en el mundo,0
"Apúrense. Hagan la huelga.
Poco a poco España se llena de moros y tantas españolas que se convierten a esa religión, hará que todas se vuelvan objetos simples como en el resto de Arabia.",0
Jajajajajjaja y quien es el hombre a cargo de esa huelga,0
La feminista solo aunmenta el odio en el mundo. Esta promoviendo la sumision adsoluta de genero masculino. No podemos permirtir que eso pase.,0
De verdad es flipante cuanto machismo existe aun en el mundo.,0
Bueno esta bien que tomen un dia en huelga pero al dia siguiente a limpiar y cocinar el doble.,0
"¿Y a esto se le llama evolucionar?  La lucha es cada día por labrar un mundo mejor, tanto hombres como mujeres. Y quien se sienta inferior, tiene un problema consigo mismo",0
Cuando partes de una buena idea de igualdad y luego te haces radical enfermizo,0
Chorradas soy mujer. . Siento q debr haber un cambio en la sociedad y en casa dobre todo en muchas madres q educan a hombres debilrs o machistas y q educan mujeres chachas o liberales ..  Esto ayuda a quien???,0
Quieren cambiar el paradigma... Hacen una huelga. Parece una rabieta de niñas,0
"Que la huelga sea en la casa también. No desayuno, limpieza,  lavado y planchado, no almuerzo ni cena...quiero ver a los padres cambiando pañales,  limpiando la cola de sus hijos despues de hacer popó etc. Ah, que los bebitos les vomiten encima y mucho mas. Medio dia si sobreviven sin destruir todo seria una hazaña.",0
si la huelga es en silencio... se puede programar una por semana de acá hasta que me muera de viejo?,0
Luego no se quejen cuando les tengan carta de despido al día siguiente,0
Ellas mismas se están quitando el respeto ganado por veedaderas luchadoras,0
"Extiendanla hasta el 31 de diciembre., NO A LAS FEMINAZIS!!!",0
"Cada día este tema se degenera más, tomándolo como pretexto para protestar por todo y por nada.",0
Ese día todos los hombres se van a ir a tomar sin nadie que los joda bravo!!!!,0
"Huelga de mujeres ? . Perfecto , y que hacen las que tienen bebés  , las que tienen hijos en terapia intensiva  , las que tienen hijos electrodependientes , las que tienen hijos que dependen de una dosis de insulina , las madres solteras que trabajan y pierden el día y el presentismo , las que tienen hijos  que si o si deben ir a una consulta médica  ? . En fín  .",0
"Lo siento pero las mujeres no pueden tener tanto liberalismo ya esto no es igualdad, quien les está haciendo algo? Hoy día se respeta demasíado la individualidad que mas quieren?",0
Jajajajaja sólo dos horas de paro se ve que no se aguantan las ganas de quedarse calladas,0
"Más q felices estarían sin nosotras x 24 hs, yo me adhiero y vemos q hacen",0
Si no estan de acuerdo pongan su empresa propia  y degen de andar de agitadodas,0
CNN asume que todas las mujeres van a participar en esa ridiculez.,0
Tampoco la exageracion en todo caso hagamos lo mismo al reves,0
Yo solo me pregunto.... realmente piden la igualdad en todo o solo para lo que les interesa?,0
QUISIERA UN DIA O MIL DIAS SIN HOMBRES MACHISTAS VIOLENTOS VIOLADORES ACOSADORES AGRESIVOS ASESINOS  ECT ECT  SIN HOMBRES EL MUNDO RESPIRARIA PAZ Y LAS FLORES NACERIAN Y LA LLUVIA SERIA UN DANZAR  HASTA ME INSPIRE.. QUIERO A MUY POCOS HOMBRES EN MI VIDA SOLO A UNO QUE ES MI NOVIO Y A MI POLITICO FAVORITO NINGUNO MAS,0
La ridiculez en su máxima expresión,0
y como seria  un dia  sin hombres  creo que daria iguales  resultados.,0
Estas ya no son feministas sino feminoides,1
Vaya panda de machistas egolatras....Que os zurzan!!.....,1
La típica radicalidad que destruye las buenas causas,0
Sería un día silencioso,0
Un dìa no es suficiente.,0
Lo único ke van a lograr es acumulación de platos y ropa sucia,1
24 horas de silencio,0
Feminazis de mierda,1
"Un día sin feminazis, no un día sin mujeres. No todas son subnormales",1
Hay que hacerla mundial,0
Un día sin feminazis sería extraordinario ojala fuera por siempre,1
"Un día sin mujeres?Un día silencioso,es chiste  (pero es verdad?",0
Cómo sería ?..........el paraíso y de relax en la playa con una cervecita.,0
Súper Tranquilidad....jajaja jajaja,0
Las vamos a extrañar :'v,0
Deberían repetirla de vez en cuando.,0
Para cuando es la Huelga ???? Para aplicarla acá también,0
Que día para ir comprando mis boletos...,0
"¿Si las mujeres hacen paro, no sería faltas a la moral?",0
No se asusten. Nada q no podamos hacer nosotros,0
Como dice un dicho todos tren  un peso atravesado .,0
Póngase a ordenar la casa y dejen de joder tanto,1
Un dia sin bla bla bla bla jajaja ojala lo amplíen a un año,0
Están locassssssss,1
Todos al bar !!!!! ,0
QUE TOMADERA DE GUARO MAS EXAGERADA!,0
Me parece excelente!!!!,0
Ojala llegue aqui pa q deje de chingar siquiera 24 horas I mas si quieren,0
En mi casa estamos de fiesta,0
Feminazis que asco,1
Los niveles de rating del fútbol se va n a ir a las nubes!,0
"Sin nadie q jodas, sería feliz",0
sería un hermoso día que nos dejan de romper los huevos...,0
Pendejazo,0
Sera que se callen durante 24hrs?,0
Se aburren!,0
Normal,0
Ahí si estamos jodidos!!!,0
Mi marido se suicidaría,0
Oraleeeee....!!!!....  porque tanta violencia..?..,0
tienen mierda en la cabeza,1
Un dia sin Drama jajajajj,0
"Que lo hagan por un año,",0
quuen sera el hombre a cargo de esa marcha,0
Tanta FemiNazi,1
Lo más ridículo del mundo bien España se ven que progresan,0
Y como para qué lo quieren parar?,0
Prefiero dejar de comer por 24 hora ,0
Jajaja.. solo me reí xD,0
Chamo que gente te gafa,0
UN DÍA SIN MUJERES SE ROMPE EL EQUILIBRIO. DEJEN DE HACERSE LAS VICTIMAS O CREERSE IMPORTANTES. TODOS TENEMOS UNA RAZÓN DE SER. ¿QUÉ TAN DIFÍCIL ES VIVIR EN ARMONÍA???.,0
el dia mas tranquilo del planeta,0
Que estúpido,0
Ay por Dios,0
Lo bueno que es en España jajaja,0
"Jajajaja, como cuando quieren comercializar algo que ni puta idea tienen de su verdadero significado o historia jajajajaja, ¡aplausos!

Recuérdenme para el día del estudiante vender muñecos de acción de Díaz Ordaz.",0
"Ella era el juguete de Diego, una codependiente y ademas de cuestionable talento... No es, en mi opinion, una mujer precisamente ejemplar pero en fin...supongo que esa cosa todavia puede venderse bien ...",0
"La mayoría de los comentarios son de hombres...(independientemente de lo que anuncia el artículo)
Y la que se atreva a opinar en favor de la muñeca o Frida se lleva sus respectivos insultos.

Muy necesario el día de la mujer en un país en el que que mueren diariamente 7 mujeres por violencia de género (cifras oficiales) e informarse adecuadamente de ello, porque en una sociedad tan machista como la mexicana la opinión dominante siempre es masculina.
A pesar que desconocen totalmente el movimiento siempre opinan.",0
Es tan irónico que la tengan como representante de la mujer siendo que ella se dejaba el bigote y vestía como hombre porque no le gustaba ser mujer. Es como si la comunidad lgbt usará al Che Gue como símbolo de liberación siendo que detestaba a los homosexuales.,0
"Frida no es un ejemplo de lucha,  no es un ejemplo de talento,  no es un ejemplo de feminidad,  creo que ponerla como estandarte en el dia de la mujer es mas una falta de respeto al genero femenino, desde mi punto de vista hubiese  sido mucho mejor alguien como Juana de Asbaje",0
"No, una persona que codependiente como alguien mencionó, que no se hizo respetar ni respetó a su pareja, fumadora borracha, y vestía de hombre,definitivamente no, aparte feita para muñeca de barbi, es cierto tuvo una vida extraordinaria para la época en que vivió, se atrevió a hacer cosas, se le reconoce su talento, sacrificio y dolor, pero de ahí a ser un ejemplo de la MUJER NO... Es como decir que todas deberían ser infieles, y hacerse de la vista gorda también, borrachas viciosas y promiscuas y esta bien porque eres pintora... Pues no me parece un ejemplo, si no hubiese estado como lapa pegada a su esposo ni habría salido de su rancho pues cuando la hizo famosa tuvo que aguantar infidelidades",0
"La barbie incluye un copia del talmud y del capital de karl marx. Ya en serio, que una judia comunista represente parte del foklor de Mexico, es por que nuestra civilización no puede generar personalidades de talla titanica.",0
"Que porquería... Porqué no lanzan una barbie de la mexicana que trabaja en la NASA, de la mexicana que cruzó el atlántico cuando no había mujeres pilotos, de aquellas mujeres revolucionarias... Y el problema es que la frida la presentan como ejemplo a seguir por la mujer moderna y es todo lo contrario! Mujeres verdaderamente ejemplares hay muchas en México y que trascendieron mas que Frida!",0
"Aveces veo tantos comentarios de mujeres descerebradas que pena me da que sean mujeres nada mas por tener vagina  ahora Barbie? Las feministas jamas en su vida comprarían una Barbie, Frida? Frida ni siquiera le gustaba ser mujer a lo que cuenta su historia, pero como yo no la conocí en persona no me consta!",1
Que hagan las muñecas que quieran lo único que yo veo mal es que estas muñecas las van a tratar de vender a precios elevados y he visto como el mismo mexicano así como el extranjero regatea el trabajo artesanal de nuestras mujeres esperemos que sí no les parece el precio exijan una rebaja en las tiendas departamentales así como lo hacen con nuestras hermanas artesanas,0
"Es la mercadotecnia en mucho la que sigue viendo como uno de sus mejores mercados el de la mujer, cómo es que se puede avanzar hacia una equidad si hay muchas que siguen prositituyendo su imagen. Y este monogotito de Frida ya quisiera ella haberse visto así, en su imagen que ensalza todo mundo no hay más que un manoseo insano de querer lucrar con alguien que no fue tan buen ejemplo y aunque sufrido y aclamado ella siempre necesitó ese reconocimiento. Por qué no emular tan buenos ejemplos que tenemos en la ciencia, investigación, literatura, filosofía, astronomía. Por qué el mercado explota la parte sentimentaloide y morbosa de las vidas. Para que quisiera yonun monigote de esos que no inspira a un ideal.",0
"que tristeza,que habiendo tantas excelentes representantes de Mexico,se les ocurrio escojer a esta comunista,machorra y judia,supongo que esta bien para los que dicen que juarez es el benemerito de las americas",0
"Esos que administran su legado hace mucho están metidos en como hacer más dinero pero de la difusión de su trabajo y de  su vida política, nada. Alucino a la Frida construida para el negocio. Debería ser nacionalizada...",0
"Nada que ver con el valor de ser una mujer ejemplar! Se equivocaron, esa mujer no representa nada. Codependiente, y sobre todo pinturas llenas de dolor! Horribles yo no sé cómo pagan por ellas! En fin habrá quien la compré.",0
"A Frida no le gustaba ser mujer ¿y? Con todo y eso nunca dejó de serlo jamás. Eso en todo caso sería su mas grande victoria, haber sido mujer y demostrar abiertamente en esa época  que gustaba de otras mujeres (y de hombres y de lo que fuera si así hubiera sido)... que si les gusta o no sus pinturas, que si es arte o no, o que hay mejores representantes ¿eso qué? Fue una mujer notable mexicana; eso ninguno de sus puntos de vista o deseos lo va a cambiar.

¿No les gusta la muñeca esa? No la compren.

#Palmface",0
Muy sobrevalorada mujer... Y qué curioso que sí... sí... Frida y cuánta cosa pero la muñeca no tiene NI las cejas características... Sí hazte una muñeca de Frida pero... Que esté guapa.,0
"Tanto detractor de esta muñeca, como si a la empresa que hace Barbie le importara la ideologías de Frida, es solo mercadotecnia que les dejara algo de ingresos igual que todas esas imágenes del Che Guevara en mochilas, camisetas, etc etc, ya es mas una imagen de la cultura pop, igual lo de Frida Kahlo, solo que ahora sale como Barbie y ya todos se desgarran las medias.",0
"lei algunos comentarios,deberiamos cambiar la biblia y poner""quien este libre de pecado,que le hagan una muñeca barbi en su honor"",como mexicano espero poder algun dia apoyar a otro mexicano,aunque sea mexicano",0
"Muchos pensaran -- ay que chido!! Los gringos se enamoran de nuestra cultura. Pero la realidad es otra se apoderan de ella para luego venderla a nosotros. Y si no me creen vean al Jazz, hip-hop, rock movimientos afroamericanos a y el arte nativo americano, los gringos también tienen sus patentes",0
"Esa manada y esa vieja era la sumisión mejor marie curi o Sor juana Inés Pinche icono más jodido q agarraron marie curie primer científica en ganar dos premios Nobel y ser mujer y aunq su esposo falleció no estuvo como frigida culo con sus frases de luchona, no, le echó galleta y descubrió y formulo más investigación cuantos elementos o aportaviones tiene frigida",1
"No fomenten el consumismo a marcas americanas y gastos innecesarios, si bien es cierto que Frida fue y sigue siendo influyente se debe impulsar el conocer su vida a través de su museo, pinturas o libros escritos sobre ella no por tener una muñeca.",0
Que hagan una Barbie de Goku en conmemoración al día en el que salvara a nuestro universo y que parte de los fondos sean destinados a comprar semillas del ermitaño por que ya se llevo una buena chinga. #TodosSomosUniverso7,0
La marca Frida Khalo fue registrada por un estadounidense. Puro negocio a la sombra de nosotros. Igual que la Nochebuena y muchas otras cosas.,0
Como esta de moda la izquierda y los derechos de los homosexuales esta bien que pongan a una digna representante de estos aunque en mi opinion hay mas dignas representantes que pudieron usar como modelo en fin haber como les sale el negocio,0
"Muchos dicen que a Frida no le gustaba ser mujer, ella no era lesbiana era bisexual. Le gustaban las dos cosas. Por otro lado no me parece que sea precisamente un icono de la mujer trabajadora. Está Marie Curie, Juana de Asbaje, Eva Perón, etc. Es más, no me pondría ni una playera con su imagen, por la razón de que era una mujer desleal. Desde el momento de que se metía con Juan de las pitas estando CASADA. Y me van a decir que Diego también lo era, bien pues los dos apestan.",0
"Para que tanto alboroto, para  que juzgar a las personas. Al que le guste la muñeca que la compre, y al que no le guste, pues no,  y ya cual es el problema, para que se desgarran las vestiduras en insultos...",0
"Jaja! A los empresarios no les importa si Frida es un ejemplo o no, ellos explotan su imagen para vender, lo que les interesa son las ganancias que se obtengan...",0
"Con que pendejadas engañan a las personas, quieren levantar la venta de la muñeca y como México siempre compra pura tontería, nisiquiera les interesa el significado de, son negocios es todo no ay que sentirse la gran madre.",0
"Chales..ya tod@s salieron muy cultas y conocedoras!  Estamos jodidos como Mexicanos,  nos echamos mierda en todo..si que estamos mal!",0
"La verdad les quedó chingona, aquí lo que me queda de duda, es si le pagan los de Mattel o la empresa que las esté fabricando a alguien por explotar la imagen de Frida, o ya como es una figura pública histórica se puede utilizar así nomás?",0
De que Frida se convirtio en una marca y personaje  ya nadie por mas que quisiera lo podria detener pero pues como quisiera que otras pintoras pudieran ser reconocidas como Maria Izquierdo,0
"Está mejor mi  ex mochila de un partido asqueroso, transformada en algo más decente",0
Hijos de puta existiendo Marie Curie ponen como modelo para la mujer a una pinche codependiente ,1
"De los creadores de labarbi transexual(la bella y la bestia) llega ""la muñeca de naTalia la fourcade en los oscars"" :v",0
"Que sea ""barbie"" hace que apeste. Que sea Frida, doblemente.",0
"FRIDA KHALO, LA CHE GUEVARA DE MEXICO (en tazas, mochilas, cuadernos, camisetas... Capitalismo)",0
La barbie mas fea bigotona lisiada y por si eso no fuera suficiente MEXICANA.......... ALGUNA VEZ HAN VISTO ALGUNA GEISHA GRINGA PUES SERIA ALGO IGUAL DE OFENSIVO PARA LOS GRINGOS. ES UNA ABERRACIÓN.,0
"Cuando saquen la muñeca de mon la fuerte, única y diferente. el mundo se va acabar acuérdese de mis advertencias",0
"Si Frida  resucitará y fuera testigo de la comercialización de su figura, se volvería a morir  de un coraje.",0
"Ojalá incluye accesorios como cigarros de mota, bigote, uniceja, corset, bastón, Manifiesto comunista.",0
"por el día de la mujer, o aprovechando el día de la mujer  para hacer dinero!",0
"Con total respeto a todos los géneros !!! nada es la neta del planeta  , no me preocupa u ofende al final del día que hagan una muñeca de Frida Kahlo pues es una mujer importante como todas y que solo despunta en algunas obras  , me preocupa y ofende la realidad de quien la compre y no se detenga a pensar que hay muchas otras mujeres que representan a las mujeres mexicanas que han dejado un veerdadero legado  , Leona Vicario ,Josefa Ortíz de dominguez , María Izquierdo ,Matilde Montoya en fin sería una lista interminable , o que tal una muñeca que represente a la mujer revolucionaria ""LA ADELITA"" pero noooo !!!   hay que hacer una figura que deje $$$$$$$$$$$ es muy fácil venderle a los mexicanos un producto así , aqui les dejo un video ,ojla a se den el tiempo para verlo y reflexionarlo , nadie tiene que estar de acuerdo conmigo y por favor nadie se ofenda , saludos .                          https://www.facebook.com/LuxRevista/videos/149244419118201/",0
"No fe feminista, fue totalmente sumisa y pésima pintora!!",0
"Es como cuando critican a Chespirito por ser la representación del pobre, sumiso y conformista. Frida Kahlo sería como representar a la mujer sumisa, abnegada y obediente a los caprichos de su hombre. Sería más como la artista que desnudo su alma por medio de la pintura y expreso con arte su alma destrozada.",0
"mmta habiendo tantas mujeres mas trascendentales que ella y ponen a Frida Kahlo.... Pudiendo poner a Marie Curie, Rosalind Franklin, Vladímirovna Tereshkova, Jocelyn Bell ... etc",0
"Ni se parece, quien dijo que era Frida Kahlo. 
Vuelvanla  a hacer.",0
Creo que es el año del talento mexicano coco del toro Oscar vamos Mexico,0
Remedios Varo era mil veces mejor y me echo un tiro con quien diga lo contrario.,0
